database, url, type, description
Ensembl, https://useast.ensembl.org/index.html, multicellular, "Ensembl is a genome browser for vertebrates."
UCSC, https://genome.ucsc.edu/, multicellular, "UCSC Genome Browser is a web-based genome browser hosted by the University of California, Santa Cruz."
